,Q1,Q2,Q3,Q4
동명동,22.18070977791825,0.0,0.0,0.0
동성로,11.794964970523015,0.0,3.164502796969589,0.0
동행,0.0,7.6246189861593985,0.0,0.0
돼지스타그램,0.0,0.0,15.942385152878742,0.0
두줄반사,0.0,0.0,0.0,12.476649250079015
드라이브,0.0,9.010913347279288,0.0,0.0
드로잉,7.6246189861593985,0.0,0.0,0.0
들살이,0.0,0.0,13.862943611198906,0.0
등원룩,0.0,0.0,0.0,14.556090791758852
디얼퍼피,0.0,0.0,0.0,18.714973875118524
디엠,0.0,6.329005593939178,0.0,3.164502796969589
디자인가구,0.0,22.873856958478193,0.0,0.0
디저트,24.452976158401373,6.616687666390959,0.0,0.0
디저트맛집,0.0,0.0,18.714973875118524,0.0
디저트카페,0.0,9.205826318456987,6.904369738842741,0.0
디트로네,0.0,0.0,24.260151319598084,0.0
디트로네m,0.0,0.0,7.6246189861593985,0.0
딥마인마켓,29.805328764077647,0.0,0.0,0.0
딸,0.0,0.0,0.0,7.6246189861593985
딸둥이,0.0,0.0,0.0,10.39720770839918
딸맘,0.0,0.0,7.1920518112945215,4.315231086776713
딸바보,0.0,0.0,3.164502796969589,11.794964970523015
딸바보아빠,0.0,0.0,0.0,29.805328764077647
딸스타그램,0.0,0.0,4.027549014324932,19.562380926721097
뚝섬카페,0.0,14.556090791758852,0.0,0.0
라페스타,0.0,0.0,13.16979643063896,0.0
랙돌,0.0,0.0,17.328679513998633,0.0
랜선여행,0.0,10.39720770839918,0.0,0.0
럭셔리호텔,0.0,8.317766166719343,0.0,0.0
럽스타그램,-4.016583923655775,-5.578588782855243,-10.710890463082066,-3.3471532697131456
레시피,3.739866941873151,0.0,8.055098028649864,0.0
레이옷입기,0.0,0.0,0.0,7.6246189861593985
렬이네,0.0,27.032740041837865,0.0,0.0
렬이네공구,0.0,9.704060527839234,0.0,0.0
렬이미술놀이,0.0,7.6246189861593985,0.0,0.0
로미의,45.054566736396445,0.0,0.0,0.0
릴스,19.408121055678468,0.0,0.0,0.0
마블테이블,0.0,10.39720770839918,0.0,0.0
마포구카페,11.090354888959125,0.0,0.0,0.0
마하하타요가,0.0,7.6246189861593985,0.0,0.0
만들기놀이,10.39720770839918,0.0,0.0,0.0
만들어,0.0,0.0,9.010913347279288,0.0
만복,0.0,0.0,0.0,11.090354888959125
만세,0.0,0.0,0.0,11.090354888959125
만화,18.021826694558577,0.0,0.0,0.0
말차덕후,0.0,0.0,27.725887222397812,0.0
말티즈,0.0,0.0,0.0,25.646445680717974
말티푸,4.027549014324932,0.0,0.0,5.178277304132055
