,id,post_num,follower_num,category,audi_stat,follower_reach,reach,reach%,ER,posting_term,,,,,,,,,,,,
73,michuhol_gu,132,"5,263",팬시완구,"20대, 여성(76%)","3,157 (83%)","3,789",71.99%,1.77%,0.7,,,,,,,,,,,,
74,iam__da,133,"2,105","패션 ,푸드","30대, 여성(63%)",608 (15%),"4,040",191.92%,8.68%,1,,,,,,,,,,,,
75,chacha_inny,134,"4,548","푸드 ,뷰티","30대, 여성(75%)","1,269 (62%)","2,055",45.18%,4.21%,0.5,,,,,,,,,,,,
76,swg_1126,135,"9,593",엔터테인먼트,"30대, 여성(73%)","3,557 (83%)","4,269",44.50%,9.41%,0.1,,,,,,,,,,,,
77,zzgoro,136,"8,846","예술 ,엔터테인먼트, 동물","30대, 여성(77%)","8,196 (75%)","10,917",123.41%,3.57%,5.4,,,,,,,,,,,,
78,kkwakys,137,"3,938","일상 ,패션, 동물","30대, 여성(80%)","3,712 (7%)","52,459",1332.12%,8.49%,0.2,,,,,,,,,,,,
79,_yellowdeer_official,140,"4,654",,"20대, 여성(86%)","2,792 (83%)","3,350",71.98%,1.10%,2.8,,,,,,,,,,,,
80,sallyday_,141,"4,011","일상 ,예술, 푸드","30대, 여성(70%)",530 (18%),"2,962",73.85%,0.47%,1,,,,,,,,,,,,
81,youremyxx,142,"4,580","패션 ,뷰티","30대, 여성(85%)","2,564 (31%)","8,294",181.09%,9.92%,0.3,,,,,,,,,,,,
82,hanssol_2e,143,"8,132","일상 ,엔터테인먼트","30대, 여성(76%)","1,566 (83%)","1,879",23.11%,3.98%,0.3,,,,,,,,,,,,
